"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Rajon Rondo","4,300","PG","DEN@LAL","LAL","DEN","68.4"
"Anthony Davis","10,100","PF/C","DEN@LAL","LAL","DEN","56.1"
"Giannis Antetokounmpo","11,000","SF/PF","IND@MIL","MIL","IND","37.5"
"Kyle Kuzma","3,500","SF/PF","DEN@LAL","LAL","DEN","33.7"
"Malcolm Brogdon","7,100","PG/SG","IND@MIL","IND","MIL","32.7"
"Paul George","8,500","SF","LAC@OKC","LAC","OKC","31.7"
"Khris Middleton","6,400","SG/SF","IND@MIL","MIL","IND","29.2"
"Jayson Tatum","7,400","SF/PF","CHA@BOS","BOS","CHA","24.6"
"Danny Green","4,000","SG/SF","DEN@LAL","LAL","DEN","23.5"
"Ivica Zubac","3,600","C","LAC@OKC","LAC","OKC","22.5"
"Steven Adams","6,000","C","LAC@OKC","OKC","LAC","22.2"
"Kemba Walker","8,200","PG","CHA@BOS","BOS","CHA","20.7"
"Nicolas Batum","3,000","SG/SF","CHA@BOS","CHA","BOS","20.0"
"Chris Paul","7,200","PG","LAC@OKC","OKC","LAC","19.3"
"Kawhi Leonard","8,700","SF/PF","LAC@OKC","LAC","OKC","18.7"
"Danilo Gallinari","6,700","SF/PF","LAC@OKC","OKC","LAC","18.5"
"Nerlens Noel","3,900","C","LAC@OKC","OKC","LAC","18.1"
"Daniel Theis","4,200","PF/C","CHA@BOS","BOS","CHA","17.9"
"Gordon Hayward","6,100","SF/PF","CHA@BOS","BOS","CHA","17.2"
"Montrezl Harrell","6,600","PF/C","LAC@OKC","LAC","OKC","16.3"
"Domantas Sabonis","8,000","PF/C","IND@MIL","IND","MIL","15.7"
"Jamal Murray","6,800","PG/SG","DEN@LAL","DEN","LAL","14.1"
"Brook Lopez","4,900","C","IND@MIL","MIL","IND","14.0"
"Kentavious Caldwell-Pope","4,000","SG/SF","DEN@LAL","LAL","DEN","13.6"
"Dennis Schroder","6,200","PG/SG","LAC@OKC","OKC","LAC","12.5"
"Will Barton","6,200","PG/SF","DEN@LAL","DEN","LAL","12.5"
"Jaylen Brown","7,300","SG/SF","CHA@BOS","BOS","CHA","12.2"
"Myles Turner","5,100","C","IND@MIL","IND","MIL","11.0"
"Patrick Beverley","5,200","PG/SG","LAC@OKC","LAC","OKC","9.6"
"Shai Gilgeous-Alexander","7,000","PG/SG","LAC@OKC","OKC","LAC","8.9"
"Landry Shamet","3,300","SG/SF","LAC@OKC","LAC","OKC","8.6"
"Lou Williams","6,500","PG/SG","LAC@OKC","LAC","OKC","8.2"
"Nikola Jokic","9,200","C","DEN@LAL","DEN","LAL","8.0"
"Enes Kanter","4,900","C","CHA@BOS","BOS","CHA","7.7"
"Dwight Howard","4,400","C","DEN@LAL","LAL","DEN","7.6"
"Devonte' Graham","7,600","PG","CHA@BOS","CHA","BOS","7.5"
"Terry Rozier","6,900","PG/SG","CHA@BOS","CHA","BOS","7.4"
"Malik Monk","3,800","PG/SG","CHA@BOS","CHA","BOS","7.0"
"Gary Harris","4,500","SG","DEN@LAL","DEN","LAL","6.8"
"Jeremy Lamb","4,600","SG/SF","IND@MIL","IND","MIL","6.2"
