"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Anthony Davis","10,600","PF","DEN@LAL","LAL","DEN","81.2"
"Rajon Rondo","4,600","PG","DEN@LAL","LAL","DEN","76.2"
"Giannis Antetokounmpo","11,200","SF","IND@MIL","MIL","IND","58.5"
"Lou Williams","5,100","SG","LAC@OKC","LAC","OKC","54.3"
"Khris Middleton","6,100","SG","IND@MIL","MIL","IND","41.3"
"Kemba Walker","7,900","PG","CHA@BOS","BOS","CHA","34.7"
"Danny Green","3,800","SG","DEN@LAL","LAL","DEN","33.1"
"Jaylen Brown","7,000","SF","CHA@BOS","BOS","CHA","31.6"
"Paul George","9,000","SF","LAC@OKC","LAC","OKC","30.9"
"Jayson Tatum","7,600","PF","CHA@BOS","BOS","CHA","28.3"
"Danilo Gallinari","6,500","SF","LAC@OKC","OKC","LAC","27.9"
"Daniel Theis","4,400","PF","CHA@BOS","BOS","CHA","26.8"
"Montrezl Harrell","6,300","C","LAC@OKC","LAC","OKC","26.5"
"Malcolm Brogdon","7,500","PG","IND@MIL","IND","MIL","23.6"
"Kawhi Leonard","8,800","PF","LAC@OKC","LAC","OKC","22.2"
"Patrick Beverley","4,900","PG","LAC@OKC","LAC","OKC","19.6"
"Enes Kanter","4,400","C","CHA@BOS","BOS","CHA","18.7"
"Will Barton","6,100","SF","DEN@LAL","DEN","LAL","18.1"
"Steven Adams","6,300","C","LAC@OKC","OKC","LAC","17.6"
"Kyle Kuzma","3,900","PF","DEN@LAL","LAL","DEN","15.9"
"Shai Gilgeous-Alexander","6,900","SG","LAC@OKC","OKC","LAC","15.7"
"Jamal Murray","6,800","PG","DEN@LAL","DEN","LAL","15.2"
"Kentavious Caldwell-Pope","3,900","SG","DEN@LAL","LAL","DEN","14.9"
"Donte DiVincenzo","5,300","SG","IND@MIL","MIL","IND","12.5"
"Chris Paul","7,700","PG","LAC@OKC","OKC","LAC","12.0"
"Dennis Schroder","6,100","SG","LAC@OKC","OKC","LAC","11.4"
"Nerlens Noel","4,600","PF","LAC@OKC","OKC","LAC","11.3"
"Gordon Hayward","6,600","SF","CHA@BOS","BOS","CHA","10.2"
"T.J. Warren","5,000","SF","IND@MIL","IND","MIL","9.8"
"Brook Lopez","5,100","C","IND@MIL","MIL","IND","9.7"
"Domantas Sabonis","8,300","PF","IND@MIL","IND","MIL","9.5"
"Ivica Zubac","3,900","C","LAC@OKC","LAC","OKC","7.6"
"George Hill","4,400","PG","IND@MIL","MIL","IND","7.3"
"Gary Harris","4,600","SG","DEN@LAL","DEN","LAL","6.8"
"Dwight Howard","4,300","C","DEN@LAL","LAL","DEN","6.5"
"Brad Wanamaker","3,500","PG","CHA@BOS","BOS","CHA","6.4"
"Moe Harkless","3,800","SF","LAC@OKC","LAC","OKC","6.2"
"Nicolas Batum","3,500","SF","CHA@BOS","CHA","BOS","4.4"
"Cody Zeller","5,700","C","CHA@BOS","CHA","BOS","3.8"
"Malik Monk","3,800","SG","CHA@BOS","CHA","BOS","3.7"
"Nikola Jokic","9,700","C","DEN@LAL","DEN","LAL","3.1"
"Devonte' Graham","7,700","SG","CHA@BOS","CHA","BOS","2.8"
"Aaron Holiday","4,300","PG","IND@MIL","IND","MIL","2.5"
"Jerami Grant","3,800","PF","DEN@LAL","DEN","LAL","2.5"
"Bismack Biyombo","4,800","C","CHA@BOS","CHA","BOS","2.3"
"Jeremy Lamb","5,000","SG","IND@MIL","IND","MIL","1.5"
"Myles Turner","5,900","C","IND@MIL","IND","MIL","1.3"
"JaVale McGee","4,300","C","DEN@LAL","LAL","DEN","1.3"
"Mason Plumlee","3,900","C","DEN@LAL","DEN","LAL","1.3"
"Marvin Williams","4,200","PF","CHA@BOS","CHA","BOS","1.1"
"Miles Bridges","5,300","SF","CHA@BOS","CHA","BOS","1.0"
"Terry Rozier","7,400","PG","CHA@BOS","CHA","BOS","0.7"
"Sterling Brown","3,900","SG","IND@MIL","MIL","IND","0.7"
"T.J. McConnell","4,500","PG","IND@MIL","IND","MIL","0.5"
"Paul Millsap","5,000","PF","DEN@LAL","DEN","LAL","0.3"
