"Name","Team","Proj minutes","Exp points","Exp 3P","Exp rebounds","Exp assists","Exp steals","Exp blocks","Exp turnovers"
"Kemba Walker","BOS","33","25.40","3.67","4.14","5.02","1.30","0.42","2.49"
"Jaylen Brown","BOS","34","21.22","2.35","6.61","2.30","1.33","0.48","1.97"
"Jayson Tatum","BOS","34","21.80","3.33","6.44","2.84","1.34","0.70","2.23"
"Daniel Theis","BOS","23","7.75","0.32","6.34","1.40","0.58","1.22","0.78"
"Grant Williams","BOS","24","5.32","0.26","3.23","1.28","0.84","0.79","1.21"
"Enes Kanter","BOS","20","9.08","0.01","7.94","1.24","0.48","0.36","1.10"
"Javonte Green","BOS","14","5.01","0.27","1.94","0.55","0.41","0.23","0.55"
"Brad Wanamaker","BOS","21","8.30","0.61","2.21","4.13","0.88","0.19","1.35"
"Semi Ojeleye","BOS","25","4.09","0.53","3.11","0.84","0.58","0.12","0.39"
"Romeo Langford","BOS","12","3.50","0.00","3.77","0.94","1.16","0.00","0.53"
"Terry Rozier","CHA","34","16.20","2.84","4.86","3.46","1.06","0.35","1.87"
"Miles Bridges","CHA","30","12.74","1.68","4.90","1.22","0.66","0.85","1.31"
"Cody Zeller","CHA","24","11.27","0.73","6.32","0.95","0.57","0.75","1.42"
"Devonte' Graham","CHA","36","21.05","4.31","3.98","5.51","0.85","0.31","2.97"
"Malik Monk","CHA","18","8.33","0.97","2.41","1.41","0.39","0.26","1.09"
"Cody Martin","CHA","20","4.64","0.27","3.61","1.44","0.98","0.21","0.77"
"Marvin Williams","CHA","24","9.18","1.55","3.24","0.84","0.64","0.72","0.53"
"Nicolas Batum","CHA","28","4.75","0.65","5.16","2.80","0.73","0.58","1.07"
"Bismack Biyombo","CHA","23","9.39","0.00","6.92","1.22","0.26","1.25","1.14"
"Delon Wright","DAL","19","7.48","0.46","3.09","4.86","0.94","0.36","0.72"
"Ryan Broekhoff","DAL","10","4.99","1.30","1.58","0.62","0.10","0.10","0.33"
"Justin Jackson","DAL","10","3.86","0.63","1.60","0.43","0.15","0.09","0.17"
"Kristaps Porzingis","DAL","34","22.48","2.56","12.71","2.46","0.54","2.57","2.00"
"Jalen Brunson","DAL","28","13.17","1.31","4.05","6.69","0.63","0.06","1.70"
"Seth Curry","DAL","24","10.56","2.10","2.55","2.42","0.53","0.20","1.06"
"Tim Hardaway Jr.","DAL","30","16.93","2.71","3.47","2.31","0.69","0.14","1.31"
"Dorian Finney-Smith","DAL","31","9.62","1.32","5.96","1.72","0.89","0.61","1.06"
"Maxi Kleber","DAL","23","7.37","1.14","5.54","1.23","0.42","1.14","0.72"
"Boban Marjanovic","DAL","5","2.53","0.01","2.05","0.27","0.09","0.21","0.41"
"Dwight Powell","DAL","26","9.11","0.23","5.65","1.57","0.63","0.74","0.80"
"Jamal Murray","DEN","31","17.31","1.83","4.26","4.21","1.11","0.23","2.05"
"Gary Harris","DEN","32","10.72","1.28","2.84","2.11","1.17","0.25","0.97"
"Will Barton","DEN","33","14.09","1.59","6.37","3.09","0.81","0.38","1.57"
"Paul Millsap","DEN","12","5.83","0.42","2.75","0.57","0.54","0.26","0.59"
"Nikola Jokic","DEN","31","16.79","0.88","9.94","6.46","1.45","0.51","2.77"
"Monte Morris","DEN","18","6.81","0.49","1.43","3.48","0.70","0.06","0.54"
"Malik Beasley","DEN","10","4.02","0.65","0.89","0.60","0.30","0.04","0.33"
"Michael Porter Jr.","DEN","12","5.38","0.48","3.48","0.64","0.08","0.32","0.82"
"Jerami Grant","DEN","28","11.47","1.55","3.78","1.24","0.66","0.72","0.82"
"Mason Plumlee","DEN","20","7.52","0.02","5.82","2.82","0.82","0.65","1.58"
"Torrey Craig","DEN","11","2.49","0.30","1.72","0.66","0.29","0.26","0.29"
"Malcolm Brogdon","IND","32","20.00","1.97","5.27","6.30","0.72","0.17","2.12"
"T.J. Warren","IND","32","17.25","0.99","3.78","0.90","0.96","0.48","1.22"
"Domantas Sabonis","IND","17","8.57","0.19","7.16","1.61","0.37","0.25","1.42"
"Myles Turner","IND","31","12.16","1.45","6.57","1.10","0.74","2.48","1.37"
"Aaron Holiday","IND","24","9.68","1.37","3.01","3.12","0.73","0.27","1.30"
"Jeremy Lamb","IND","16","7.51","0.63","2.76","1.07","0.54","0.21","0.57"
"T.J. McConnell","IND","18","6.78","0.09","2.73","4.17","0.77","0.16","1.31"
"Justin Holiday","IND","26","7.41","1.33","4.13","1.42","1.05","0.38","0.78"
"Goga Bitadze","IND","12","3.75","0.19","2.97","0.64","0.04","0.92","0.59"
"Doug McDermott","IND","24","10.24","1.86","3.50","1.10","0.20","0.12","0.81"
"TJ Leaf","IND","5","1.75","0.12","1.72","0.17","0.09","0.14","0.13"
"Landry Shamet","LAC","28","9.49","2.00","1.95","2.03","0.54","0.17","0.75"
"Rodney McGruder","LAC","24","5.31","0.74","4.37","1.11","0.57","0.20","0.73"
"Patrick Beverley","LAC","30","8.07","1.64","6.55","3.92","1.09","0.56","1.29"
"Ivica Zubac","LAC","18","8.47","0.00","7.11","1.06","0.21","0.81","1.03"
"Lou Williams","LAC","30","17.97","1.44","3.16","6.46","0.79","0.15","2.41"
"Moe Harkless","LAC","26","6.81","0.54","4.24","1.45","1.26","0.78","0.86"
